Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc,DiegoPath_Pink
0,290.477194,0.000000,0.000000,0,0,0,0,0,0,307.852814,105.981750,5
1,289.499568,0.000000,0.000000,0,0,0,0,0,0,306.852814,105.994222,5
2,288.522096,0.000000,0.000000,0,0,0,0,0,0,305.852814,106.006721,5
3,287.544779,0.000000,0.000000,0,0,0,0,0,0,304.852814,106.019248,5
4,286.356421,0.000000,0.000000,0,0,0,0,0,0,303.438600,105.965356,4
5,285.378696,0.000000,0.000000,0,0,0,0,0,0,302.438600,105.977988,4
6,284.401125,0.000000,0.000000,0,0,0,0,0,0,301.438600,105.990650,4
7,283.423711,0.000000,0.000000,0,0,0,0,0,0,300.438600,106.003340,4
8,282.446455,0.000000,0.000000,0,0,0,0,0,0,299.438600,106.016059,4
9,281.469359,0.000000,0.000000,0,0,0,0,0,0,298.438600,106.028806,4
10,280.492424,0.000000,0.000000,0,0,0,0,0,0,297.438600,106.041581,4
11,279.515653,0.000000,0.000000,0,0,0,0,0,0,296.438600,106.054383,4
12,278.539046,0.000000,0.000000,0,0,0,0,0,0,295.438600,106.067212,4
13,277.562606,0.000000,0.000000,0,0,0,0,0,0,294.438600,106.080068,4
14,276.586334,0.000000,0.000000,0,0,0,0,0,0,293.438600,106.092950,3
15,275.610232,0.000000,0.000000,0,0,0,0,0,0,292.438600,106.105858,2
16,274.634302,0.000000,0.000000,0,0,0,0,0,0,291.438600,106.118791,1
17,273.658546,0.000000,0.000000,0,0,0,0,0,0,290.438600,106.131749,0
18,272.904745,0.000000,0.000000,0,0,0,0,0,0,289.852814,106.210251,3
19,271.930138,0.000000,0.000000,0,0,0,0,0,0,288.852814,106.223170,2
20,270.955716,0.000000,0.000000,0,0,0,0,0,0,287.852814,106.236110,1
21,270.209178,0.000000,0.000000,0,0,0,0,0,0,287.267027,106.312831,1
22,269.235956,0.000000,0.000000,0,0,0,0,0,0,286.267027,106.325705,1
23,268.262931,0.000000,0.000000,0,0,0,0,0,0,285.267027,106.338593,0
24,267.290105,0.000000,0.000000,0,0,0,0,0,0,284.267027,106.351497,0
25,266.552059,0.000000,0.000000,0,0,0,0,0,0,283.681241,106.426205,0
26,265.580496,0.000000,0.000000,0,0,0,0,0,0,282.681241,106.439006,0
27,264.849014,0.000000,0.000000,0,0,0,0,0,0,282.095454,106.511801,1
28,263.878760,0.000000,0.000000,0,0,0,0,0,0,281.095454,106.524471,0
29,263.153947,0.000000,0.000000,0,0,0,0,0,0,280.509668,106.595273,2
30,262.185049,0.000000,0.000000,0,0,0,0,0,0,279.509668,106.607783,1
31,261.216385,0.000000,0.000000,0,0,0,0,0,0,278.509668,106.620290,0
32,260.499520,0.000000,0.000000,0,0,0,0,0,0,277.923882,106.688827,1
33,259.532272,0.000000,0.000000,0,0,0,0,0,0,276.923882,106.701136,0
34,258.565272,0.000000,0.000000,0,0,0,0,0,0,275.923882,106.713434,0
35,257.856549,0.000000,0.000000,0,0,0,0,0,0,275.338095,106.779562,0
36,257.153651,0.000000,0.000000,0,0,0,0,0,0,274.752309,106.843635,0
37,256.456624,0.000000,0.000000,0,0,0,0,0,0,274.166522,106.905612,0
38,255.493640,0.000000,0.000000,0,0,0,0,0,0,273.166522,106.917152,0
39,254.803846,0.000000,0.000000,0,0,0,0,0,0,272.580736,106.976696,0
40,254.120050,0.000000,0.000000,0,0,0,0,0,0,271.994949,107.034037,0
41,254.401258,0.000000,0.000000,0,0,0,0,0,0,272.409163,107.078544,0
42,254.686081,0.000000,0.000000,0,0,0,0,0,0,272.823376,107.121432,2
43,253.728201,0.000000,0.000000,0,0,0,0,0,0,271.823376,107.131716,3
44,252.770647,0.000000,0.000000,0,0,0,0,0,0,270.823376,107.141941,3
45,251.813423,0.000000,0.000000,0,0,0,0,0,0,269.823376,107.152102,2
46,250.856533,0.000000,0.000000,0,0,0,0,0,0,268.823376,107.162199,1
47,249.899980,0.000000,0.000000,0,0,0,0,0,0,267.823376,107.172228,0
48,249.238841,0.000000,0.000000,0,0,0,0,0,0,267.237590,107.221486,1
49,248.284111,0.000000,0.000000,0,0,0,0,0,0,266.237590,107.231022,0
50,247.630774,0.000000,0.000000,0,0,0,0,0,0,265.651804,107.277379,0
51,247.935475,0.000000,0.000000,0,0,0,0,0,0,266.066017,107.312605,0
52,247.293348,0.000000,0.000000,0,0,0,0,0,0,265.480231,107.354376,0
53,247.606543,0.000000,0.000000,0,0,0,0,0,0,265.894444,107.385872,0
54,247.923375,0.000000,0.000000,0,0,0,0,0,0,266.308658,107.415712,0
55,248.243832,0.000000,0.000000,0,0,0,0,0,0,266.722871,107.443907,2
56,249.513527,0.000000,0.000000,0,0,0,0,0,0,268.137085,107.463947,4
57,248.895560,0.000000,0.000000,0,0,0,0,0,0,267.551299,107.495408,2
58,249.226804,498.453609,200.000000,11,10327,0,10140,22,10515,318.000000,127.594622,1
59,248.284111,496.568223,200.000000,10,10233,1,10046,19,10420,317.000000,127.676313,1
60,247.951608,495.903216,200.000000,8,10228,0,10038,16,10418,316.000000,127.444223,1
61,246.677928,0.000000,0.000000,0,0,0,0,0,0,265.137085,107.483101,3
62,245.405786,0.000000,0.000000,0,0,0,0,0,0,263.722871,107.463999,2
63,244.460631,0.000000,0.000000,0,0,0,0,0,0,262.722871,107.470422,2
64,243.515913,0.000000,0.000000,0,0,0,0,0,0,261.722871,107.476702,2
65,242.571639,0.000000,0.000000,0,0,0,0,0,0,260.722871,107.482834,1
66,241.627813,0.000000,0.000000,0,0,0,0,0,0,259.722871,107.488814,0
67,241.018671,0.000000,0.000000,0,0,0,0,0,0,259.137085,107.517431,0
68,241.356583,0.000000,0.000000,0,0,0,0,0,0,259.551299,107.538521,0
69,241.698159,0.000000,0.000000,0,0,0,0,0,0,259.965512,107.557920,0
70,242.981481,0.000000,0.000000,0,0,0,0,0,0,261.379726,107.571871,0
71,244.266248,0.000000,0.000000,0,0,0,0,0,0,262.793939,107.585039,0
72,244.616026,0.000000,0.000000,0,0,0,0,0,0,263.208153,107.600535,0
73,244.969386,0.000000,0.000000,0,0,0,0,0,0,263.622366,107.614413,1
74,244.034834,0.000000,0.000000,0,0,0,0,0,0,262.622366,107.616754,1
75,243.100802,0.000000,0.000000,0,0,0,0,0,0,261.622366,107.618882,0
76,242.528349,0.000000,0.000000,0,0,0,0,0,0,261.036580,107.631368,1
77,241.596772,0.000000,0.000000,0,0,0,0,0,0,260.036580,107.632473,0
78,241.033193,0.000000,0.000000,0,0,0,0,0,0,259.450793,107.641106,1
79,240.104144,0.000000,0.000000,0,0,0,0,0,0,258.450793,107.641122,0
80,239.549577,0.000000,0.000000,0,0,0,0,0,0,257.865007,107.645778,0
81,239.002092,0.000000,0.000000,0,0,0,0,0,0,257.279221,107.647267,0
82,238.461737,0.000000,0.000000,0,0,0,0,0,0,256.693434,107.645544,1
83,237.539470,0.000000,0.000000,0,0,0,0,0,0,255.693434,107.642504,0
84,237.008439,0.000000,0.000000,0,0,0,0,0,0,255.107648,107.636525,2
85,236.088966,0.000000,0.000000,0,0,0,0,0,0,254.107648,107.632157,1
86,235.170151,0.000000,0.000000,0,0,0,0,0,0,253.107648,107.627455,0
87,234.650804,0.000000,0.000000,0,0,0,0,0,0,252.521861,107.616022,1
88,233.734893,0.000000,0.000000,0,0,0,0,0,0,251.521861,107.609890,0
89,233.225213,0.000000,0.000000,0,0,0,0,0,0,250.936075,107.593888,0
90,232.312290,0.000000,0.000000,0,0,0,0,0,0,249.936075,107.586247,0
91,231.812424,0.000000,0.000000,0,0,0,0,0,0,249.350288,107.565541,0
92,231.320125,0.000000,0.000000,0,0,0,0,0,0,248.764502,107.541228,1
93,230.412673,0.000000,0.000000,0,0,0,0,0,0,247.764502,107.530761,0
94,229.930424,0.000000,0.000000,0,0,0,0,0,0,247.178716,107.501526,0
95,229.455878,0.000000,0.000000,0,0,0,0,0,0,246.592929,107.468560,0
96,228.989083,0.000000,0.000000,0,0,0,0,0,0,246.007143,107.431822,0
97,229.427548,0.000000,0.000000,0,0,0,0,0,0,246.421356,107.407048,0
98,229.869528,0.000000,0.000000,0,0,0,0,0,0,246.835570,107.380727,0
99,230.315002,0.000000,0.000000,0,0,0,0,0,0,247.249783,107.352878,0
100,231.657074,0.000000,0.000000,0,0,0,0,0,0,248.663997,107.341422,0
101,232.551070,0.000000,0.000000,0,0,0,0,0,0,249.663997,107.358782,0
102,233.445925,466.891850,200.000000,3,9078,5,8909,2,9248,313.000000,134.078160,0
103,234.787138,469.574275,200.000000,5,9162,10,9043,1,9282,315.000000,134.164079,0
104,235.236052,0.000000,0.000000,0,0,0,0,0,0,252.492424,107.335769,0
105,234.343765,0.000000,0.000000,0,0,0,0,0,0,251.492424,107.317737,0
106,233.452351,0.000000,0.000000,0,0,0,0,0,0,250.492424,107.299166,1
107,232.561820,0.000000,0.000000,0,0,0,0,0,0,249.492424,107.280045,1
108,232.131428,0.000000,0.000000,0,0,0,0,0,0,248.906638,107.226600,0
109,231.244459,0.000000,0.000000,0,0,0,0,0,0,247.906638,107.205439,0
110,230.824609,0.000000,0.000000,0,0,0,0,0,0,247.320851,107.146657,1
111,229.941297,0.000000,0.000000,0,0,0,0,0,0,246.320851,107.123363,0
112,229.532133,0.000000,0.000000,0,0,0,0,0,0,245.735065,107.059113,0
113,229.130967,0.000000,0.000000,0,0,0,0,0,0,245.149278,106.990898,0
114,228.737841,0.000000,0.000000,0,0,0,0,0,0,244.563492,106.918685,0
115,228.352797,0.000000,0.000000,0,0,0,0,0,0,243.977705,106.842442,0
116,227.481867,0.000000,0.000000,0,0,0,0,0,0,242.977705,106.811900,0
117,227.107904,0.000000,0.000000,0,0,0,0,0,0,242.391919,106.729847,0
118,226.742144,0.000000,0.000000,0,0,0,0,0,0,241.806133,106.643665,0
119,226.384628,0.000000,0.000000,0,0,0,0,0,0,241.220346,106.553324,0
120,226.035395,0.000000,0.000000,0,0,0,0,0,0,240.634560,106.458796,0
121,226.550215,0.000000,0.000000,0,0,0,0,0,0,241.048773,106.399711,0
122,227.068272,0.000000,0.000000,0,0,0,0,0,0,241.462987,106.339378,0
123,227.589543,0.000000,0.000000,0,0,0,0,0,0,241.877200,106.277818,0
124,228.114007,0.000000,0.000000,0,0,0,0,0,0,242.291414,106.215053,0
125,228.641641,0.000000,0.000000,0,0,0,0,0,0,242.705627,106.151105,0
126,229.172424,0.000000,0.000000,0,0,0,0,0,0,243.119841,106.085993,0
127,229.706334,0.000000,0.000000,0,0,0,0,0,0,243.534055,106.019738,0
128,231.086564,0.000000,0.000000,0,0,0,0,0,0,244.948268,105.998490,0
129,231.624696,0.000000,0.000000,0,0,0,0,0,0,245.362482,105.931054,0
130,232.165889,0.000000,0.000000,0,0,0,0,0,0,245.776695,105.862535,0
131,231.326609,0.000000,0.000000,0,0,0,0,0,0,244.776695,105.814327,1
132,230.488611,0.000000,0.000000,0,0,0,0,0,0,243.776695,105.765180,1
133,229.651911,0.000000,0.000000,0,0,0,0,0,0,242.776695,105.715078,1
134,228.816520,0.000000,0.000000,0,0,0,0,0,0,241.776695,105.664003,1
135,227.982455,0.000000,0.000000,0,0,0,0,0,0,240.776695,105.611941,0
136,227.149730,0.000000,0.000000,0,0,0,0,0,0,239.776695,105.558873,0
137,226.318360,0.000000,0.000000,0,0,0,0,0,0,238.776695,105.504783,0
138,226.048667,0.000000,0.000000,0,0,0,0,0,0,238.190909,105.371517,0
139,225.787511,0.000000,0.000000,0,0,0,0,0,0,237.605122,105.233953,0
140,225.534920,0.000000,0.000000,0,0,0,0,0,0,237.019336,105.092079,0
141,224.715376,0.000000,0.000000,0,0,0,0,0,0,236.019336,105.030346,0
142,224.474943,0.000000,0.000000,0,0,0,0,0,0,235.433550,104.881884,0
143,223.660457,0.000000,0.000000,0,0,0,0,0,0,234.433550,104.816718,0
144,223.432316,0.000000,0.000000,0,0,0,0,0,0,233.847763,104.661567,1
145,222.623000,0.000000,0.000000,0,0,0,0,0,0,232.847763,104.592860,0
146,222.407284,0.000000,0.000000,0,0,0,0,0,0,232.261977,104.430922,1
147,222.200360,0.000000,0.000000,0,0,0,0,0,0,231.676190,104.264543,0
148,222.800359,0.000000,0.000000,0,0,0,0,0,0,232.090404,104.169672,0
149,224.200803,0.000000,0.000000,0,0,0,0,0,0,233.504617,104.149769,0
150,224.804359,0.000000,0.000000,0,0,0,0,0,0,233.918831,104.054402,0
