Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc,DiegoPath_Pink
0,362.746468,0.000000,0.000000,0,0,0,0,0,0,361.624458,99.690690,0
1,362.751981,0.000000,0.000000,0,0,0,0,0,0,362.210245,99.850659,0
2,363.463891,0.000000,0.000000,0,0,0,0,0,0,363.210245,99.930214,0
3,364.177155,0.000000,0.000000,0,0,0,0,0,0,364.210245,100.009086,0
4,364.891765,0.000000,0.000000,0,0,0,0,0,0,365.210245,100.087281,0
5,364.910948,0.000000,0.000000,0,0,0,0,0,0,365.796031,100.242548,0
6,365.629594,0.000000,0.000000,0,0,0,0,0,0,366.796031,100.319022,0
7,366.349560,0.000000,0.000000,0,0,0,0,0,0,367.796031,100.394834,0
8,367.070838,0.000000,0.000000,0,0,0,0,0,0,368.796031,100.469989,0
9,367.793420,0.000000,0.000000,0,0,0,0,0,0,369.796031,100.544493,0
10,368.517299,0.000000,0.000000,0,0,0,0,0,0,370.796031,100.618351,0
11,369.242468,0.000000,0.000000,0,0,0,0,0,0,371.796031,100.691568,0
12,369.968918,0.000000,0.000000,0,0,0,0,0,0,372.796031,100.764149,0
13,370.696641,0.000000,0.000000,0,0,0,0,0,0,373.796031,100.836099,0
14,371.425632,0.000000,0.000000,0,0,0,0,0,0,374.796031,100.907422,0
15,371.474091,0.000000,0.000000,0,0,0,0,0,0,375.381818,101.051951,0
16,372.206932,0.000000,0.000000,0,0,0,0,0,0,376.381818,101.121657,0
17,372.941014,0.000000,0.000000,0,0,0,0,0,0,377.381818,101.190752,0
18,373.676331,0.000000,0.000000,0,0,0,0,0,0,378.381818,101.259241,0
19,374.412874,0.000000,0.000000,0,0,0,0,0,0,379.381818,101.327130,0
20,374.476969,0.000000,0.000000,0,0,0,0,0,0,379.967604,101.466214,0
21,375.217270,0.000000,0.000000,0,0,0,0,0,0,380.967604,101.532534,0
22,375.958774,0.000000,0.000000,0,0,0,0,0,0,381.967604,101.598268,0
23,376.701473,0.000000,0.000000,0,0,0,0,0,0,382.967604,101.663421,0
24,377.445360,0.000000,0.000000,0,0,0,0,0,0,383.967604,101.727997,0
25,378.190428,0.000000,0.000000,0,0,0,0,0,0,384.967604,101.792001,0
26,378.272389,0.000000,0.000000,0,0,0,0,0,0,385.553391,101.924804,0
27,379.021108,0.000000,0.000000,0,0,0,0,0,0,386.553391,101.987299,0
28,379.770984,0.000000,0.000000,0,0,0,0,0,0,387.553391,102.049237,0
29,380.522010,0.000000,0.000000,0,0,0,0,0,0,388.553391,102.110622,0
30,380.616605,0.000000,0.000000,0,0,0,0,0,0,389.139177,102.239149,0
31,381.371210,0.000000,0.000000,0,0,0,0,0,0,390.139177,102.299064,0
32,382.126942,0.000000,0.000000,0,0,0,0,0,0,391.139177,102.358440,0
33,382.883794,0.000000,0.000000,0,0,0,0,0,0,392.139177,102.417282,0
34,383.641760,0.000000,0.000000,0,0,0,0,0,0,393.139177,102.475595,0
35,384.400832,0.000000,0.000000,0,0,0,0,0,0,394.139177,102.533383,0
36,385.161005,0.000000,0.000000,0,0,0,0,0,0,395.139177,102.590650,0
37,385.275226,0.000000,0.000000,0,0,0,0,0,0,395.724963,102.712279,0
38,386.038858,0.000000,0.000000,0,0,0,0,0,0,396.724963,102.768142,0
39,386.160588,0.000000,0.000000,0,0,0,0,0,0,397.310750,102.887442,0
40,386.927642,0.000000,0.000000,0,0,0,0,0,0,398.310750,102.941922,0
41,387.056843,0.000000,0.000000,0,0,0,0,0,0,398.896536,103.058903,0
42,387.827281,0.000000,0.000000,0,0,0,0,0,0,399.896536,103.112018,0
43,387.963916,0.000000,0.000000,0,0,0,0,0,0,400.482323,103.226694,0
44,388.737701,0.000000,0.000000,0,0,0,0,0,0,401.482323,103.278463,0
45,388.881730,0.000000,0.000000,0,0,0,0,0,0,402.068109,103.390846,0
46,389.658825,0.000000,0.000000,0,0,0,0,0,0,403.068109,103.441288,0
47,389.810210,0.000000,0.000000,0,0,0,0,0,0,403.653896,103.551391,0
48,389.966665,0.000000,0.000000,0,0,0,0,0,0,404.239682,103.660061,0
49,390.749280,0.000000,0.000000,0,0,0,0,0,0,405.239682,103.708363,0
50,391.532885,0.000000,0.000000,0,0,0,0,0,0,406.239682,103.756210,0
51,391.698864,0.000000,0.000000,0,0,0,0,0,0,406.825469,103.861794,0
52,391.869876,0.000000,0.000000,0,0,0,0,0,0,407.411255,103.965954,0
53,392.045916,0.000000,0.000000,0,0,0,0,0,0,407.997041,104.068688,0
54,392.837116,0.000000,0.000000,0,0,0,0,0,0,408.997041,104.113645,0
55,392.226975,0.000000,0.000000,0,0,0,0,0,0,408.582828,104.169997,1
56,391.618437,0.000000,0.000000,0,0,0,0,0,0,408.168614,104.226098,0
57,391.807351,0.000000,0.000000,0,0,0,0,0,0,408.754401,104.325353,0
58,392.001276,0.000000,0.000000,0,0,0,0,0,0,409.340187,104.423177,0
59,392.200204,0.000000,0.000000,0,0,0,0,0,0,409.925974,104.519572,1
60,392.404128,0.000000,0.000000,0,0,0,0,0,0,410.511760,104.614536,1
61,391.808627,0.000000,0.000000,0,0,0,0,0,0,410.097546,104.667820,0
