Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc,DiegoPath_Pink
0,235.849528,0.000000,0.000000,0,0,0,0,0,0,241.870058,102.552699,0
1,234.940418,0.000000,0.000000,0,0,0,0,0,0,241.284271,102.700197,0
2,235.031913,0.000000,0.000000,0,0,0,0,0,0,241.698485,102.836454,0
3,234.132441,0.000000,0.000000,0,0,0,0,0,0,241.112698,102.981329,0
4,234.232790,0.000000,0.000000,0,0,0,0,0,0,241.526912,103.114048,0
5,234.337364,0.000000,0.000000,0,0,0,0,0,0,241.941125,103.244793,0
6,234.446156,0.000000,0.000000,0,0,0,0,0,0,242.355339,103.373561,0
7,234.559161,0.000000,0.000000,0,0,0,0,0,0,242.769553,103.500350,0
8,234.676373,0.000000,0.000000,0,0,0,0,0,0,243.183766,103.625160,0
9,234.797785,0.000000,0.000000,0,0,0,0,0,0,243.597980,103.747989,0
10,234.923392,0.000000,0.000000,0,0,0,0,0,0,244.012193,103.868836,0
11,235.053185,0.000000,0.000000,0,0,0,0,0,0,244.426407,103.987702,0
12,235.187160,0.000000,0.000000,0,0,0,0,0,0,244.840620,104.104587,0
13,235.325307,0.000000,0.000000,0,0,0,0,0,0,245.254834,104.219490,0
14,236.457184,0.000000,0.000000,0,0,0,0,0,0,246.669048,104.318694,0
15,236.603043,0.000000,0.000000,0,0,0,0,0,0,247.083261,104.429452,0
16,236.753036,0.000000,0.000000,0,0,0,0,0,0,247.497475,104.538248,0
17,236.907155,0.000000,0.000000,0,0,0,0,0,0,247.911688,104.645083,0
18,237.065392,0.000000,0.000000,0,0,0,0,0,0,248.325902,104.749959,0
19,236.241402,0.000000,0.000000,0,0,0,0,0,0,247.740115,104.867357,0
20,236.408545,0.000000,0.000000,0,0,0,0,0,0,248.154329,104.968426,0
21,236.579796,0.000000,0.000000,0,0,0,0,0,0,248.568542,105.067527,0
22,235.771075,0.000000,0.000000,0,0,0,0,0,0,247.982756,105.179465,0
23,235.951266,0.000000,0.000000,0,0,0,0,0,0,248.396970,105.274692,0
24,236.135554,0.000000,0.000000,0,0,0,0,0,0,248.811183,105.367946,0
25,235.342304,0.000000,0.000000,0,0,0,0,0,0,248.225397,105.474193,0
26,234.554898,0.000000,0.000000,0,0,0,0,0,0,247.639610,105.578529,0
27,234.753062,0.000000,0.000000,0,0,0,0,0,0,248.053824,105.665852,0
28,233.976495,0.000000,0.000000,0,0,0,0,0,0,247.468037,105.766196,0
29,234.183689,0.000000,0.000000,0,0,0,0,0,0,247.882251,105.849495,0
30,234.394966,0.000000,0.000000,0,0,0,0,0,0,248.296465,105.930801,0
31,234.610315,0.000000,0.000000,0,0,0,0,0,0,248.710678,106.010121,0
32,234.829726,0.000000,0.000000,0,0,0,0,0,0,249.124892,106.087460,0
33,235.053185,0.000000,0.000000,0,0,0,0,0,0,249.539105,106.162826,0
34,235.280683,0.000000,0.000000,0,0,0,0,0,0,249.953319,106.236226,0
35,235.512208,0.000000,0.000000,0,0,0,0,0,0,250.367532,106.307666,0
36,235.747747,0.000000,0.000000,0,0,0,0,0,0,250.781746,106.377155,0
37,235.987288,0.000000,0.000000,0,0,0,0,0,0,251.195959,106.444700,0
38,235.261557,0.000000,0.000000,0,0,0,0,0,0,250.610173,106.524065,0
39,235.510085,0.000000,0.000000,0,0,0,0,0,0,251.024387,106.587532,0
40,235.762592,0.000000,0.000000,0,0,0,0,0,0,251.438600,106.649065,0
41,236.019067,0.000000,0.000000,0,0,0,0,0,0,251.852814,106.708673,0
42,236.279496,0.000000,0.000000,0,0,0,0,0,0,252.267027,106.766364,0
43,236.543865,0.000000,0.000000,0,0,0,0,0,0,252.681241,106.822149,0
