Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc,DiegoPath_Pink
0,227.694971,0.000000,0.000000,0,0,0,0,0,0,240.639610,105.685079,9
1,226.715681,0.000000,0.000000,0,0,0,0,0,0,239.639610,105.700501,7
2,225.736572,0.000000,0.000000,0,0,0,0,0,0,238.639610,105.715972,5
3,224.757647,0.000000,0.000000,0,0,0,0,0,0,237.639610,105.731490,5
4,223.575491,0.000000,0.000000,0,0,0,0,0,0,236.225397,105.658002,7
5,222.596047,0.000000,0.000000,0,0,0,0,0,0,235.225397,105.673663,6
6,221.616786,0.000000,0.000000,0,0,0,0,0,0,234.225397,105.689375,5
7,220.637712,0.000000,0.000000,0,0,0,0,0,0,233.225397,105.705137,5
8,219.658826,0.000000,0.000000,0,0,0,0,0,0,232.225397,105.720949,5
9,218.476543,0.000000,0.000000,0,0,0,0,0,0,230.811183,105.645750,4
10,217.497126,0.000000,0.000000,0,0,0,0,0,0,229.811183,105.661710,4
11,216.517898,0.000000,0.000000,0,0,0,0,0,0,228.811183,105.677723,4
12,215.538860,0.000000,0.000000,0,0,0,0,0,0,227.811183,105.693787,4
13,214.560015,0.000000,0.000000,0,0,0,0,0,0,226.811183,105.709903,4
14,213.581366,0.000000,0.000000,0,0,0,0,0,0,225.811183,105.726069,4
15,212.602916,0.000000,0.000000,0,0,0,0,0,0,224.811183,105.742286,4
16,211.834841,0.000000,0.000000,0,0,0,0,0,0,224.225397,105.849158,4
17,210.857772,0.000000,0.000000,0,0,0,0,0,0,223.225397,105.865387,3
18,209.668786,0.000000,0.000000,0,0,0,0,0,0,221.811183,105.791228,4
19,208.691159,0.000000,0.000000,0,0,0,0,0,0,220.811183,105.807636,4
20,207.713745,0.000000,0.000000,0,0,0,0,0,0,219.811183,105.824091,4
21,206.736547,0.000000,0.000000,0,0,0,0,0,0,218.811183,105.840591,3
22,205.759568,0.000000,0.000000,0,0,0,0,0,0,217.811183,105.857135,2
23,204.782812,0.000000,0.000000,0,0,0,0,0,0,216.811183,105.873721,1
24,204.024508,0.000000,0.000000,0,0,0,0,0,0,216.225397,105.980109,2
25,203.049255,0.000000,0.000000,0,0,0,0,0,0,215.225397,105.996644,2
26,202.074244,0.000000,0.000000,0,0,0,0,0,0,214.225397,106.013212,1
27,201.099478,0.000000,0.000000,0,0,0,0,0,0,213.225397,106.029811,0
28,200.352190,0.000000,0.000000,0,0,0,0,0,0,212.639610,106.132910,1
29,199.379036,0.000000,0.000000,0,0,0,0,0,0,211.639610,106.149380,0
30,198.640379,0.000000,0.000000,0,0,0,0,0,0,211.053824,106.249205,1
31,197.668915,0.000000,0.000000,0,0,0,0,0,0,210.053824,106.265481,0
32,196.939077,0.000000,0.000000,0,0,0,0,0,0,209.468037,106.361846,0
33,196.216717,0.000000,0.000000,0,0,0,0,0,0,208.882251,106.454870,1
34,195.248560,0.000000,0.000000,0,0,0,0,0,0,207.882251,106.470568,0
35,194.535344,0.000000,0.000000,0,0,0,0,0,0,207.296465,106.559795,1
36,193.569109,0.000000,0.000000,0,0,0,0,0,0,206.296465,106.575096,0
37,192.865238,0.000000,0.000000,0,0,0,0,0,0,205.710678,106.660319,1
38,191.901016,0.000000,0.000000,0,0,0,0,0,0,204.710678,106.675140,0
39,191.206694,0.000000,0.000000,0,0,0,0,0,0,204.124892,106.756143,1
40,190.520340,0.000000,0.000000,0,0,0,0,0,0,203.539105,106.833268,0
41,189.560017,0.000000,0.000000,0,0,0,0,0,0,202.539105,106.846955,0
42,188.883562,0.000000,0.000000,0,0,0,0,0,0,201.953319,106.919478,0
43,188.215302,0.000000,0.000000,0,0,0,0,0,0,201.367532,106.987864,0
44,187.555325,0.000000,0.000000,0,0,0,0,0,0,200.781746,107.052010,1
45,186.601179,0.000000,0.000000,0,0,0,0,0,0,199.781746,107.063496,0
46,185.951607,0.000000,0.000000,0,0,0,0,0,0,199.195959,107.122473,0
47,185.310550,0.000000,0.000000,0,0,0,0,0,0,198.610173,107.176938,0
48,184.361059,0.000000,0.000000,0,0,0,0,0,0,197.610173,107.186504,0
49,183.730781,0.000000,0.000000,0,0,0,0,0,0,197.024387,107.235372,0
50,184.054340,0.000000,0.000000,0,0,0,0,0,0,197.438600,107.271907,1
51,183.109257,0.000000,0.000000,0,0,0,0,0,0,196.438600,107.279448,0
52,182.496575,0.000000,0.000000,0,0,0,0,0,0,195.852814,107.318624,0
53,181.892826,0.000000,0.000000,0,0,0,0,0,0,195.267027,107.352792,0
54,181.298097,0.000000,0.000000,0,0,0,0,0,0,194.681241,107.381845,0
55,180.712479,0.000000,0.000000,0,0,0,0,0,0,194.095454,107.405673,0
56,180.136060,0.000000,0.000000,0,0,0,0,0,0,193.509668,107.424171,1
57,179.203795,0.000000,0.000000,0,0,0,0,0,0,192.509668,107.424995,0
58,178.639301,0.000000,0.000000,0,0,0,0,0,0,191.923882,107.436538,0
59,178.084250,0.000000,0.000000,0,0,0,0,0,0,191.338095,107.442458,0
60,177.538728,0.000000,0.000000,0,0,0,0,0,0,190.752309,107.442647,0
61,177.002825,0.000000,0.000000,0,0,0,0,0,0,190.166522,107.436998,0
62,176.476627,0.000000,0.000000,0,0,0,0,0,0,189.580736,107.425407,0
63,176.875663,0.000000,0.000000,0,0,0,0,0,0,189.994949,107.417237,0
64,176.366097,0.000000,0.000000,0,0,0,0,0,0,189.409163,107.395450,0
65,175.866427,0.000000,0.000000,0,0,0,0,0,0,188.823376,107.367495,0
66,175.376737,0.000000,0.000000,0,0,0,0,0,0,188.237590,107.333272,0
67,174.897113,0.000000,0.000000,0,0,0,0,0,0,187.651804,107.292682,2
68,173.994253,0.000000,0.000000,0,0,0,0,0,0,186.651804,107.274695,1
