Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc
0,313.159704,0.000000,0.000000,0,0,0,0,0,0,339.000000,108.251476
1,312.160215,0.000000,0.000000,0,0,0,0,0,0,338.000000,108.277732
2,311.130198,0.000000,0.000000,0,0,0,0,0,0,336.000000,107.993375
3,310.130618,0.000000,0.000000,0,0,0,0,0,0,335.000000,108.019003
4,309.131040,0.000000,0.000000,0,0,0,0,0,0,334.000000,108.044795
5,308.103879,0.000000,0.000000,0,0,0,0,0,0,332.000000,107.755865
6,307.104217,0.000000,0.000000,0,0,0,0,0,0,331.000000,107.781001
7,306.080055,0.000000,0.000000,0,0,0,0,0,0,329.000000,107.488219
8,305.080317,0.000000,0.000000,0,0,0,0,0,0,328.000000,107.512672
9,304.059205,0.000000,0.000000,0,0,0,0,0,0,326.000000,107.215962
10,303.059400,0.000000,0.000000,0,0,0,0,0,0,325.000000,107.239703
11,302.041388,0.000000,0.000000,0,0,0,0,0,0,323.000000,106.938987
12,301.041525,0.000000,0.000000,0,0,0,0,0,0,322.000000,106.961988
13,300.026665,0.000000,0.000000,0,0,0,0,0,0,320.000000,106.657186
14,299.026755,0.000000,0.000000,0,0,0,0,0,0,319.000000,106.679417
15,298.015100,0.000000,0.000000,0,0,0,0,0,0,317.000000,106.370449
16,297.006734,0.000000,0.000000,0,0,0,0,0,0,315.000000,106.058201
17,296.001689,0.000000,0.000000,0,0,0,0,0,0,313.000000,105.742640
18,295.001695,0.000000,0.000000,0,0,0,0,0,0,312.000000,105.762104
19,294.001701,0.000000,0.000000,0,0,0,0,0,0,311.000000,105.781701
20,293.000000,0.000000,0.000000,0,0,0,0,0,0,309.000000,105.460751
21,292.001712,0.000000,0.000000,0,0,0,0,0,0,307.000000,105.136370
22,291.006873,0.000000,0.000000,0,0,0,0,0,0,305.000000,104.808521
23,290.006896,0.000000,0.000000,0,0,0,0,0,0,304.000000,104.825093
24,289.006920,0.000000,0.000000,0,0,0,0,0,0,303.000000,104.841780
25,288.015625,0.000000,0.000000,0,0,0,0,0,0,301.000000,104.508219
26,287.015679,0.000000,0.000000,0,0,0,0,0,0,300.000000,104.523907
27,286.015734,0.000000,0.000000,0,0,0,0,0,0,299.000000,104.539703
28,285.028069,0.000000,0.000000,0,0,0,0,0,0,297.000000,104.200264
29,284.028168,0.000000,0.000000,0,0,0,0,0,0,296.000000,104.215016
30,283.044166,0.000000,0.000000,0,0,0,0,0,0,294.000000,103.870715
31,282.044323,0.000000,0.000000,0,0,0,0,0,0,293.000000,103.884381
32,281.064050,0.000000,0.000000,0,0,0,0,0,0,291.000000,103.535120
33,280.064278,0.000000,0.000000,0,0,0,0,0,0,290.000000,103.547658
34,279.064509,0.000000,0.000000,0,0,0,0,0,0,289.000000,103.560285
35,278.064741,0.000000,0.000000,0,0,0,0,0,0,288.000000,103.573002
