Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc
0,281.469359,0.000000,0.000000,0,0,0,0,0,0,298.438600,106.028806
1,280.708033,0.000000,0.000000,0,0,0,0,0,0,297.852814,106.107691
2,280.927037,0.000000,0.000000,0,0,0,0,0,0,298.267027,106.172418
3,281.149426,0.000000,0.000000,0,0,0,0,0,0,298.681241,106.235764
4,281.375194,0.000000,0.000000,0,0,0,0,0,0,299.095454,106.297734
5,281.604332,0.000000,0.000000,0,0,0,0,0,0,299.509668,106.358331
6,281.836832,0.000000,0.000000,0,0,0,0,0,0,299.923882,106.417561
7,282.072686,0.000000,0.000000,0,0,0,0,0,0,300.338095,106.475427
8,282.311884,0.000000,0.000000,0,0,0,0,0,0,300.752309,106.531933
9,282.554420,0.000000,0.000000,0,0,0,0,0,0,301.166522,106.587086
10,282.800283,0.000000,0.000000,0,0,0,0,0,0,301.580736,106.640889
11,282.081548,0.000000,0.000000,0,0,0,0,0,0,300.994949,106.704941
12,282.334908,0.000000,0.000000,0,0,0,0,0,0,301.409163,106.755897
13,282.591578,0.000000,0.000000,0,0,0,0,0,0,301.823376,106.805510
14,282.851551,0.000000,0.000000,0,0,0,0,0,0,302.237590,106.853786
15,283.114818,0.000000,0.000000,0,0,0,0,0,0,302.651804,106.900729
16,282.418130,0.000000,0.000000,0,0,0,0,0,0,302.066017,106.957021
17,282.688875,0.000000,0.000000,0,0,0,0,0,0,302.480231,107.001109
18,282.962895,0.000000,0.000000,0,0,0,0,0,0,302.894444,107.043874
19,283.240181,0.000000,0.000000,0,0,0,0,0,0,303.308658,107.085321
20,283.520722,0.000000,0.000000,0,0,0,0,0,0,303.722871,107.125458
21,283.804510,0.000000,0.000000,0,0,0,0,0,0,304.137085,107.164289
22,284.091535,0.000000,0.000000,0,0,0,0,0,0,304.551299,107.201821
23,284.381786,0.000000,0.000000,0,0,0,0,0,0,304.965512,107.238061
24,284.675254,0.000000,0.000000,0,0,0,0,0,0,305.379726,107.273014
25,284.971928,0.000000,0.000000,0,0,0,0,0,0,305.793939,107.306688
26,284.318483,0.000000,0.000000,0,0,0,0,0,0,305.208153,107.347278
27,284.622557,0.000000,0.000000,0,0,0,0,0,0,305.622366,107.378125
28,284.929816,0.000000,0.000000,0,0,0,0,0,0,306.036580,107.407706
29,285.240250,0.000000,0.000000,0,0,0,0,0,0,306.450793,107.436028
30,285.553848,0.000000,0.000000,0,0,0,0,0,0,306.865007,107.463097
31,285.870600,0.000000,0.000000,0,0,0,0,0,0,307.279221,107.488920
32,285.243755,0.000000,0.000000,0,0,0,0,0,0,306.693434,107.519772
33,285.567855,0.000000,0.000000,0,0,0,0,0,0,307.107648,107.542793
34,285.895086,0.000000,0.000000,0,0,0,0,0,0,307.521861,107.564585
35,286.225436,0.000000,0.000000,0,0,0,0,0,0,307.936075,107.585154
36,286.558894,0.000000,0.000000,0,0,0,0,0,0,308.350288,107.604508
37,286.895451,0.000000,0.000000,0,0,0,0,0,0,308.764502,107.622655
38,287.235095,0.000000,0.000000,0,0,0,0,0,0,309.178716,107.639603
39,287.577816,0.000000,0.000000,0,0,0,0,0,0,309.592929,107.655359
40,287.923601,0.000000,0.000000,0,0,0,0,0,0,310.007143,107.669931
41,288.272441,0.000000,0.000000,0,0,0,0,0,0,310.421356,107.683327
42,287.689068,575.378137,200.000000,0,13573,0,13573,0,0,311.249783,108.189646
43,288.045135,576.090271,200.000000,4,13593,4,13593,0,0,311.663997,108.199709
44,288.404230,576.808460,200.000000,14,13592,14,13592,0,0,312.078210,108.208611
45,288.766342,577.532683,200.000000,26,13612,26,13612,0,0,312.492424,108.216360
46,289.131458,578.262916,200.000000,40,13624,40,13624,0,0,312.906638,108.222965
