Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc
0,271.692841,0.000000,0.000000,0,0,0,0,0,0,292.663997,107.718700
1,270.386760,0.000000,0.000000,0,0,0,0,0,0,291.249783,107.715993
2,269.081772,0.000000,0.000000,0,0,0,0,0,0,351.000000,130.443618
3,267.777893,0.000000,0.000000,0,0,0,0,0,0,349.000000,130.331894
4,266.852019,0.000000,0.000000,0,0,0,0,0,0,348.000000,130.409356
5,265.548489,0.000000,0.000000,0,0,0,0,0,0,346.000000,130.296354
6,264.246097,0.000000,0.000000,0,0,0,0,0,0,344.000000,130.181677
7,263.319198,0.000000,0.000000,0,0,0,0,0,0,343.000000,130.260157
8,262.017175,0.000000,0.000000,0,0,0,0,0,0,341.000000,130.144140
9,261.090023,0.000000,0.000000,0,0,0,0,0,0,340.000000,130.223283
10,260.163410,0.000000,0.000000,0,0,0,0,0,0,339.000000,130.302720
11,259.237343,0.000000,0.000000,0,0,0,0,0,0,338.000000,130.382450
12,257.934100,0.000000,0.000000,0,0,0,0,0,0,336.000000,130.265831
13,257.007782,0.000000,0.000000,0,0,0,0,0,0,335.000000,130.346248
14,256.082018,0.000000,0.000000,0,0,0,0,0,0,334.000000,130.426963
15,254.778335,0.000000,0.000000,0,0,0,0,0,0,332.000000,130.309353
16,253.852319,0.000000,0.000000,0,0,0,0,0,0,331.000000,130.390772
17,252.549005,0.000000,0.000000,0,0,0,0,0,0,329.000000,130.271747
18,251.246891,0.000000,0.000000,0,0,0,0,0,0,327.000000,130.150864
19,250.319795,0.000000,0.000000,0,0,0,0,0,0,326.000000,130.233408
20,249.393264,498.786527,200.000000,6,10401,6,10401,0,0,325.000000,130.316270
21,248.467302,496.934603,200.000000,6,10353,6,10353,0,0,324.000000,130.399452
22,247.541916,0.000000,0.000000,0,0,0,0,0,0,266.521861,107.667366
23,246.237690,492.475380,200.000000,2,10129,2,10129,0,0,321.000000,130.361847
24,245.312046,0.000000,0.000000,0,0,0,0,0,0,264.107648,107.661915
25,244.008197,488.016393,200.000000,0,9969,0,9969,0,0,318.000000,130.323491
26,243.082291,0.000000,0.000000,0,0,0,0,0,0,261.693434,107.656314
27,241.778825,483.557649,200.000000,0,9770,0,9770,0,0,315.000000,130.284362
28,240.852652,0.000000,0.000000,0,0,0,0,0,0,259.279221,107.650557
29,239.549577,479.099155,200.000000,0,9604,0,9604,0,0,312.000000,130.244438
30,238.623134,0.000000,0.000000,0,0,0,0,0,0,256.865007,107.644637
31,237.320458,474.640917,200.000000,0,9393,0,9393,0,0,309.000000,130.203693
32,236.393739,0.000000,0.000000,0,0,0,0,0,0,254.450793,107.638550
33,235.091472,470.182943,200.000000,0,9246,0,9246,0,0,306.000000,130.162102
34,233.790505,467.581009,200.000000,0,9135,0,9135,0,0,304.000000,130.030944
35,232.862620,465.725241,200.000000,0,9070,0,9070,0,0,303.000000,130.119639
36,231.935336,0.000000,0.000000,0,0,0,0,0,0,249.622366,107.625846
37,230.633909,0.000000,0.000000,0,0,0,0,0,0,248.208153,107.619974
38,229.706334,0.000000,0.000000,0,0,0,0,0,0,247.208153,107.619215
39,228.405341,0.000000,0.000000,0,0,0,0,0,0,245.793939,107.613043
40,227.105702,0.000000,0.000000,0,0,0,0,0,0,244.379726,107.606160
41,226.176922,0.000000,0.000000,0,0,0,0,0,0,243.379726,107.605906
42,224.877745,0.000000,0.000000,0,0,0,0,0,0,241.965512,107.598692
43,223.579963,0.000000,0.000000,0,0,0,0,0,0,240.551299,107.590723
44,223.215143,0.000000,0.000000,0,0,0,0,0,0,240.137085,107.581001
