Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma
0,386.378053,0.000000,0.000000,0,0
1,385.389413,0.000000,0.000000,0,0
2,384.400832,0.000000,0.000000,0,0
3,383.412311,0.000000,0.000000,0,0
4,382.423849,0.000000,0.000000,0,0
5,381.435447,0.000000,0.000000,0,0
6,380.447105,0.000000,0.000000,0,0
7,379.458825,0.000000,0.000000,0,0
8,378.318649,0.000000,0.000000,0,0
9,377.330094,0.000000,0.000000,0,0
10,376.341600,0.000000,0.000000,0,0
11,375.353167,0.000000,0.000000,0,0
12,374.364795,0.000000,0.000000,0,0
13,373.376486,0.000000,0.000000,0,0
14,372.388238,0.000000,0.000000,0,0
15,371.400054,0.000000,0.000000,0,0
16,370.259369,0.000000,0.000000,0,0
17,369.270903,0.000000,0.000000,0,0
18,368.282500,0.000000,0.000000,0,0
19,367.294160,0.000000,0.000000,0,0
20,366.305883,0.000000,0.000000,0,0
21,365.317670,0.000000,0.000000,0,0
22,364.329521,0.000000,0.000000,0,0
23,363.341437,0.000000,0.000000,0,0
24,362.353419,0.000000,0.000000,0,0
25,361.365466,0.000000,0.000000,0,0
26,360.377580,0.000000,0.000000,0,0
27,359.546937,0.000000,0.000000,0,0
28,358.559618,0.000000,0.000000,0,0
29,357.572370,0.000000,0.000000,0,0
30,356.585193,0.000000,0.000000,0,0
31,355.439165,0.000000,0.000000,0,0
32,354.451689,0.000000,0.000000,0,0
33,353.464284,0.000000,0.000000,0,0
34,352.476950,0.000000,0.000000,0,0
35,351.489687,0.000000,0.000000,0,0
36,350.502496,0.000000,0.000000,0,0
37,349.515379,0.000000,0.000000,0,0
38,348.528335,0.000000,0.000000,0,0
39,347.541364,0.000000,0.000000,0,0
40,346.554469,0.000000,0.000000,0,0
41,345.731109,0.000000,0.000000,0,0
42,344.744833,0.000000,0.000000,0,0
43,343.758636,0.000000,0.000000,0,0
44,342.772519,0.000000,0.000000,0,0
45,341.786483,0.000000,0.000000,0,0
46,340.969207,0.000000,0.000000,0,0
47,339.983823,0.000000,0.000000,0,0
